------------------------------------------------------------
References:
Mankelevich

File_type:
!!!!Add_a_description!!!!

A[см^3/с]*T^B*exp(-C[T]/Te)_prefix-Te
A[см^3/с]*T^B*exp(-C[T]/T)_prefix-Tgas
------------------------------------------------------------

Nitrogen_Reactions_with_Neutrals
------------------------------------------------------------
N2[B]	->	N2[A3] 	;	Tgas 		1.0e+5		0.0	0.0		//ref
N2[C]	->	N2[B] 	;	Tgas		2.8e+7		0.0	0.0		//ref

N2[B]	+	M	->	N2[A3]	+	M ;		Tgas		2.85e-11 	0.0 	0.0
	M:	N2(0) 1.0 N2(1) 1.0 N2(2) 1.0 N2(3) 1.0 N2(4) 1.0 N2(5) 1.0 N2(6) 1.0 N2(7) 1.0 N2(8) 1.0 N2(9) 1.0 ; //ref
N2[B]	+	M	->	N2(0)	+	M ;		Tgas		1.5e-12 	0.0 	0.0
	M:	N2(0) 1.0 N2(1) 1.0 N2(2) 1.0 N2(3) 1.0 N2(4) 1.0 N2(5) 1.0 N2(6) 1.0 N2(7) 1.0 N2(8) 1.0 N2(9) 1.0 ; //ref

N2[A3]	+	N2[A3]	->	N2[B]	+	N2(8) ;		Tgas		7.7e-11	 	0.0 	0.0 	//ref
N2[A3]	+	N2[A3]	->	N2[C]	+	N2(4) ;		Tgas		1.5e-10	 	0.0 	0.0 	//ref
N2[A3]	+	N	->	N2(8)	+	N[2P] ;		Tgas		7.5e-12	 	0.0 	0.0 	//ref
N2[A3]	+	N	->	N2(9)	+	N[2P] ;		Tgas		7.5e-12	 	0.0 	0.0 	//ref

N2(9)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(10)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(11)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(12)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(13)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(14)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(15)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(16)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(17)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(18)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(19)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(20)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(21)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
N2(22)	+	N[2P]	->	N2[A3]	+	N	;	Tgas		1.3e-10	 	0.0 	1300 	//ref
